N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1985,-11.8,-3.3,-0.2,4.6,1.9,4.2,1.4,1.7,7.2,1.3,-11.4,3.4,-20.0,9.3,-1.3,5.1,3.2,-0.2,-14.6,-15.5,-0.8,-4.8,-11.4,2.0,-18.7,-4.9,4.4,-18.2
1986,-12.0,-2.5,-0.7,6.6,2.2,4.8,2.3,2.2,8.4,2.6,-12.7,3.7,-20.8,10.7,-1.5,4.9,5.1,-0.2,-15.7,-17.4,-0.4,-6.3,-14.2,3.1,-18.3,-4.7,4.7,-18.6
1987,-10.4,-0.3,1.4,7.2,3.4,5.6,3.9,3.4,9.0,4.1,-11.2,4.5,-21.2,11.3,1.3,5.7,6.0,1.3,-14.5,-16.6,0.6,-5.2,-14.1,4.6,-18.8,-2.9,4.9,-18.3
1988,-10.1,-2.8,-0.1,6.7,2.8,4.7,2.3,2.1,8.3,2.8,-11.8,4.5,-17.5,10.6,-1.0,5.7,5.4,-0.3,-13.7,-14.9,-0.2,-5.6,-11.7,2.9,-16.8,-3.7,4.9,-16.1
1989,-10.2,-3.1,-0.3,5.7,2.0,3.6,0.8,1.8,8.7,1.7,-12.9,4.2,-20.6,10.6,-2.6,4.8,4.9,-0.5,-13.9,-17.0,-0.1,-6.6,-14.1,2.6,-18.2,-4.8,4.6,-16.9
1990,-11.5,-3.8,-1.2,6.2,3.3,5.6,3.0,1.6,8.4,1.5,-12.9,3.8,-19.4,10.6,-2.0,6.6,4.4,-1.1,-14.8,-16.8,-1.1,-6.4,-14.0,1.8,-17.6,-5.9,4.8,-17.0
1991,-11.3,-2.9,-1.3,6.0,2.9,5.7,3.2,2.2,8.6,2.6,-12.2,2.9,-20.0,10.8,-1.1,6.0,4.2,0.1,-14.9,-16.2,0.1,-6.1,-12.5,3.4,-16.9,-4.3,4.8,-17.7
1992,-10.3,-2.7,-1.5,6.9,1.8,3.8,1.4,3.0,9.1,2.4,-12.5,2.9,-20.5,11.7,-1.3,5.1,4.1,-0.9,-14.5,-16.6,-0.4,-7.6,-14.3,2.9,-18.7,-4.6,4.0,-17.4
1993,-9.8,-1.8,-1.3,4.9,2.1,4.3,1.5,2.0,8.6,2.7,-11.6,2.9,-18.8,10.7,-1.2,5.3,3.9,1.3,-14.1,-15.4,0.9,-6.4,-14.7,3.9,-17.7,-3.0,3.7,-17.5
1994,-9.2,-3.0,-0.4,7.2,2.4,4.0,2.2,2.4,8.6,1.6,-10.8,3.7,-18.0,11.1,-1.7,5.7,4.9,-0.2,-13.1,-16.0,-0.8,-5.4,-13.5,1.9,-17.2,-4.6,4.7,-17.5
1995,-10.0,-2.8,-0.1,5.9,3.2,4.4,2.3,2.1,8.5,1.5,-10.9,3.8,-18.2,11.5,-1.7,5.7,4.1,-0.8,-14.3,-15.7,-0.4,-4.5,-12.2,1.5,-17.1,-3.8,4.9,-16.0
1996,-9.6,-3.6,1.2,4.5,3.2,4.3,2.0,2.2,8.6,-0.4,-10.5,5.1,-18.7,9.8,-2.9,5.9,2.6,-2.5,-13.3,-15.1,-3.0,-3.9,-12.0,-0.7,-16.6,-6.8,5.4,-17.0
1997,-9.5,-1.6,-0.4,6.1,2.3,4.0,1.9,2.2,8.6,2.8,-10.6,3.5,-19.3,11.2,-0.6,4.9,4.9,-0.3,-13.9,-16.9,0.6,-5.0,-11.4,2.7,-17.7,-3.9,4.3,-15.5
1998,-7.0,-0.1,1.1,7.6,4.5,7.0,4.6,3.0,8.7,3.6,-9.5,5.0,-17.0,11.3,0.8,6.9,5.5,0.7,-11.4,-13.4,-0.1,-3.7,-10.7,3.1,-16.2,-3.1,5.9,-14.0
1999,-9.0,-0.8,1.8,6.6,4.9,5.8,4.3,2.2,8.3,3.3,-9.2,6.2,-19.7,10.4,0.1,7.7,5.7,0.1,-12.9,-15.2,-0.1,-3.1,-13.5,2.9,-17.9,-4.2,6.9,-16.2
2000,-9.6,-1.7,1.2,5.5,3.0,4.7,2.7,1.4,7.9,1.8,-10.9,5.3,-19.0,10.4,-1.7,5.9,4.6,-0.4,-13.4,-15.7,-0.3,-3.8,-11.6,2.1,-18.8,-3.2,5.8,-16.8
